GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-1137315069,SushiGo,3,GAME_OVER,61,0,2,305,RandomPlayer,44.0,44.0,SushigoAgentBKP,1,RandomPlayer,1,2,2,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,1
-1670171071,SushiGo,3,GAME_OVER,62,0,2,306,Basic MCTS,35.0,71.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
-111795509,SushiGo,3,GAME_OVER,60,0,2,307,SushigoAgentBKP,49.0,35.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
143537014,SushiGo,3,GAME_OVER,63,0,2,308,RandomPlayer,61.0,32.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
1639168202,SushiGo,3,GAME_OVER,63,0,2,309,SushigoAgentBKP,46.0,49.0,RandomPlayer,2,SushigoAgentBKP,2,1,1,RandomPlayer,RandomPlayer,SushigoAgentBKP,0
485788881,SushiGo,3,GAME_OVER,60,0,2,310,SushigoAgentBKP,67.0,35.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
-1392189990,SushiGo,3,GAME_OVER,64,0,2,311,RandomPlayer,89.0,30.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
-1147876354,SushiGo,3,GAME_OVER,63,0,2,312,SushigoAgentBKP,47.0,46.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
-1540879951,SushiGo,3,GAME_OVER,60,0,2,313,Basic MCTS,35.0,82.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
2143132553,SushiGo,3,GAME_OVER,62,0,2,314,Basic MCTS,49.0,69.0,RandomPlayer,2,Basic MCTS,2,1,1,RandomPlayer,RandomPlayer,Basic MCTS,0
1722033092,SushiGo,3,GAME_OVER,60,0,2,315,SushigoAgentBKP,66.0,40.0,Basic MCTS,1,SushigoAgentBKP,1,2,2,Basic MCTS,Basic MCTS,SushigoAgentBKP,1
1515804242,SushiGo,3,GAME_OVER,60,0,2,316,RandomPlayer,46.0,49.0,SushigoAgentBKP,2,RandomPlayer,2,1,1,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,0
-181739599,SushiGo,3,GAME_OVER,60,0,2,317,Basic MCTS,60.0,61.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-969773918,SushiGo,3,GAME_OVER,63,0,2,318,RandomPlayer,83.0,43.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
-164055761,SushiGo,3,GAME_OVER,60,0,2,319,SushigoAgentBKP,47.0,39.0,RandomPlayer,1,SushigoAgentBKP,1,2,2,RandomPlayer,RandomPlayer,SushigoAgentBKP,1
9417288,SushiGo,3,GAME_OVER,61,0,2,320,Basic MCTS,39.0,77.0,SushigoAgentBKP,2,Basic MCTS,2,1,1,SushigoAgentBKP,SushigoAgentBKP,Basic MCTS,0
-238213410,SushiGo,3,GAME_OVER,63,0,2,321,RandomPlayer,65.0,55.0,Basic MCTS,1,RandomPlayer,1,2,2,Basic MCTS,Basic MCTS,RandomPlayer,1
811178860,SushiGo,3,GAME_OVER,60,0,2,322,RandomPlayer,42.0,31.0,SushigoAgentBKP,1,RandomPlayer,1,2,2,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,1
-1391480725,SushiGo,3,GAME_OVER,60,0,2,323,RandomPlayer,40.0,52.0,SushigoAgentBKP,2,RandomPlayer,2,1,1,SushigoAgentBKP,SushigoAgentBKP,RandomPlayer,0
